PKGNAME|PKGCATEGORY|AUTOSWITCH|INSTALLTYPE|PKGDESCRIPTION
kblocks|games|Y|s|kblocks tetris style game.
tuxpaint|games|Y|s|Tux paint game for kids.
steam|games|Y|c|Linux gaming engine/app for professional players.
pinball|games|Y|s|The Emilia Pinball project is an open source pinball simulator for linux
supertux|games|Y|s|SuperTux Karting Racer Game.
ktuberling|games|Y|s|Make Nice pictures for Kids.
chromium-bsu|games|Y|s|Intergalactic shooting spaceship game!
@xfce-desktop|tools|Y|s|xfce lightweight desktop for fedora.
@kde-desktop|tools|Y|s|kdb desktop, an alternative to gnome desktop.
xpdf|tools|Y|s|An opensource pdf reader alternative.
qbittorrent|tools|Y|s|A bit torrent client for linux.
terminator|tools|Y|s|A powerful linux terminal client.
gnome-tweak-tool|tools|Y|s|gnome desktop settings tweak tool.
lsb|tools|Y|s|required by chrome browser for Linux.
libXScrnSaver|tools|Y|s|required by chrome browser for Linux
liberation-fonts|tools|Y|s|required by chrome browser for Linux
libappindicator-gtk3|tools|Y|s|required by chrome browser for Linux
google-chrome|tools|Y|c|Google Chrome browser for Linux workstation.
adobe-pdf-reader|tools|Y|c|Adobe acrobat reader for Linux Workstation.
atk.i686|tools|Y|s|GTK library provides a set of interfaces for adding accessibility support to applications and graphical user interface toolkits.
pangox-compat|tools|Y|s|This is a compatibility library providing the obsolete pangox library that is not shipped by Pango itself anymore.
pangox-compat.i686|tools|Y|s|This is a compatibility library providing the obsolete pangox library that is not shipped by Pango itself anymore.32 bit build.
gdk-pixbuf2.i686|tools|Y|s|The gdk-pixbuf package contains an image loading library used with the GNOME GUI desktop environment. 
gtk2.i686|tools|Y|s|GTK+ is a multi-platform toolkit for creating graphical user interfaces.
libidn.i686|tools|Y|s|GNU Libidn is an implementation of the Stringprep, Punycode and IDNA specifications defined by the IETF Internationalized Domain Names (IDN) working group, used for internationalized domain names.
libXt.i686|tools|Y|s|X.Org X11 libXt runtime library.
gdk-pixbuf2-xlib|tools|Y|s|This package contains the old libgdk-pixbuf-xlib library that is needed by some programs to load GdkPixbuf using bare XLib calls.
gdk-pixbuf2-xlib.i686|tools|Y|s|This package contains the old libgdk-pixbuf-xlib library that is needed by some programs to load GdkPixbuf using bare XLib calls.x86 build.
mesa-libGLU|tools|Y|s|Mesa implementation of the standard GLU OpenGL utility API.
mesa-libGLU.i686|tools|Y|s|Mesa implementation of the standard GLU OpenGL utility API 32 bit x86 arch.
libcanberra-gtk2.i686|tools|Y|s| Gtk+ 2.x bindings for libcanberra
adwaita-gtk2-theme.i686|tools|Y|s|Adwaita theme for gnome desktop.
PackageKit-gtk3-module.i686|tools|Y|s|PackageKit is a system designed to make installing and updating software on your computer easier.
pdfmod|tools|Y|s|pdf editing software.
flash-plugin|tools|Y|c|Adobe Flash plugin for Linux/video/browsers.
dosbox|tools|Y|s|dosbox for playing old dos compatible games [ Ex:- dave, alladin etc ]
livecd-tools|tools|Y|s|Tools for generating live CDs on Fedora based systems. 
liveusb-creator|tools|Y|s|A liveusb creator from Live Fedora images.
glade|tools|Y|s|Glade is a Widget builder for Gtk/gnome. It allows to create a gtk/gnome interface in C, C++, Ada and Perl.
glade3|tools|Y|s|Glade is a Widget builder for Gtk/gnome. It allows to create a gtk/gnome interface in C, C++, Ada and Perl.
pygtk2-libglade|tools|Y|s|This module contains a wrapper for the libglade library. Libglade allows a program to construct its user interface from an XML description, which allows the programmer to keep the UI and program logic separate.
switchdesk|tools|Y|s|theme switcher between gnome/xfce/kde etc.
switchdesk-gui|tools|Y|s|gui interface for switchdesk tool.
alien|tools|Y|s|Tool to covert non rpm packages [ Ex:- .deb ] to rpm format.
tilix|tools|Y|s|Terminal client for Linux.
xterm|tools|Y|s|Terminal thin client.
yakuake|tools|Y|s|Terminal drop down style client.
lilyterm|tools|Y|s|Terminal thin client.
chromium|tools|Y|s|Web Browser for Linux kde distribution.
shellinabox|tools|Y|s|providing terminal access via browser.
roxterm|tools|Y|s|Terminal client.
gftp|tools|Y|s|ftp or http download client.
mediawiki|tools|Y|s|wiki management software.
bison|tools|Y|s|c,cpp development tool.
mariadb|tools|Y|s|Mariadb open source db.
mailcap|tools|Y|s|The mailcap file is used by the metamail program.
mysql-server|tools|Y|s|ms sql server for Linux.
mysql|tools|Y|s|mysql linux client.
php-mysqlnd|tools|Y|s|php mysql interface.
mod_ssl|tools|Y|s|required for authentication module for web server like httpd.
spotify|tools|Y|c|Spotify Linux Music Client.
pidgin|tools|Y|s|Pidgin allows you to talk to anyone using a variety of messaging protocols.
virtualbox-6.0|tools|Y|c|Virtual Box open source alternative for VMWare virtualization machines.
@development-tools|tools|Y|s|Development tools c,cpp linux group install.
kernel-headers|tools|Y|s|kernel headers for vmware workstation and kernel development.
dkms|tools|Y|s|This package contains the framework for the Dynamic Kernel Module Support.
qt5-qtx11extras|tools|Y|s|The X11 Extras module provides features specific to platforms using X11, e.g. Linux and UNIX-like systems including embedded Linux systems that use the X Window System.
elfutils-libelf-devel|tools|Y|s|libelf allows you to access the internals of the ELF object file format, so you can see the different sections of an ELF file.
zlib-devel|tools|Y|s|zlib compression library development build for debugging.
keepassx|tools|Y|s|keep passwords safe using this tool.aes encryption.
sugar-stopwatch|tools|Y|s|stopwatch utility for Linux.
pan|tools|Y|s|open source news reader.
p7zip|tools|Y|s|p7zip format for better compression.
python3-PyPDF2|tools|Y|s|predependency module for pdf shuffler.
pdfshuffler|tools|Y|s|shuffle, merge and modify pdf files.
pdfarranger|tools|Y|s|Better tool for pdf handle,merge,cut,paste [ replacing pdfshuffler : https://bugzilla.redhat.com/show_bug.cgi?id=1648514 ]
shutter|tools|Y|s|screenshot for kde.
filezilla|tools|Y|s|downloading utility similar to gFTP.
gparted|tools|Y|s|Manage hard drive partitions.
aescrypt|tools|Y|c|AES Encryption command line tool for Linux.
menulibre|tools|Y|s|create custom icons and app shortcuts for gnome desktop.
docker-ce|tools|Y|c|Docker Container Manager for Fedora Linux Workstation.
geogebra|tools|Y|c|Geogebra Study Tool for Linux.
hplip xsane sane|tools|Y|s|hp printer,scanner utility.
hplip|tools|Y|s|hp printer utility.
PyQt4|tools|Y|s|Python qt development libraries.
Pyqt5|tools|Y|s|Python qt development libraries.
hplip-gui|tools|Y|s|ui for hp printer management.
python-qt4|tools|Y|s|python qt interface for gui development.
python-qt5|tools|Y|s|python qt interface for gui development.
chrome-gnome-shell|tools|Y|s|shell in a chrome browser tool.
seahorse|tools|Y|s|Seahorse is a graphical interface for managing and using encryption keys.
pv|tools|Y|s|compress and track progress over terminals for data transfffer.
dropbox|tools|Y|c|dropbox linux client.
smartmontools|tools|Y|s|hard disk monitoring tools.
k3b|tools|Y|s|disk burning utility.
expandrive|tools|Y|c|ExpanDrive Cloud Drive Mounting software.
vinagre|tools|Y|s|Vinagre is a VNC client for the GNOME desktop.
setroubleshoot|tools|Y|s|Application that allows you to view setroubleshoot-server messages.
calibre|tools|Y|s|open source book reader for Linux.
blivet-gui|tools|Y|s|very useful gui for dealing with lvm encrypted and lvm volumes.
dislocker|tools|Y|s|unlocking lvm encrypted volumes in Linux.
sysstat|tools|Y|s|Very useful for monitoring Linux cpu core load and other stats in real time.
